,,,,,,,max,0.659154069,0.569500732,,,,
,,,,,,,median,0.406282198,0.423395657,,,,
,,,,,,,mean,0.375556119,0.425120897,,,,
,,,,,,,min,0,0.31678487,,,,
,,,,,,,,,,,,,
team_id,system_id,micro_average_P,micro_average_R,micro_average_F,micro_average_SU,macro_average_P,macro_average_R,macro_average_F,macro_average_SU,weighted_average_P,weighted_average_R,weighted_average_F,weighted_average_SU
CompInsights,ssf_baseline_1,0.162466875,0.859546266,0.273279844,0,0.180107864,0.770012048,0.291932046,0.153862089,0.001671074,0.003522731,0.002266833,0.001711568
CompInsights,ccr_baseline_1,0.165842486,0.812133571,0.275438748,0,0.190236832,0.823672868,0.309086533,0.202209505,0.001698189,0.003642871,0.0023165,0.001793751
LSIS_LIA,upd_snippet_S4,0.2,0.000254907,0.000509165,0.333333333,0.00273224,6.26E-05,0.000122339,0.295081967,4.56E-05,1.04E-06,2.04E-06,0.00136612
LSIS_LIA,upd_doc_S4_3,0.147807638,0.106551109,0.123833506,0.333333333,0.127810943,0.084577391,0.101793878,0.295081967,0.001133973,0.000436685,0.00063055,0.00136612
LSIS_LIA,upd_doc_S4_2,0.147807638,0.106551109,0.123833506,0.333333333,0.130396383,0.084108667,0.102258347,0.295081967,0.001133973,0.000436685,0.00063055,0.00136612
LSIS_LIA,no_update_S4,1,0.000254907,0.000509684,0.333503271,0.008196721,1.00E-04,0.000197511,0.295148607,8.57E-05,1.04E-06,2.06E-06,0.001366817
LSIS_LIA,upd_document_S4,0,0,0,0.333333333,0,0,0,0.295081967,0,0,0,0.00136612
LSIS_LIA,upd_snpt_S4_2,0.219106957,0.053785368,0.086369218,0.333333333,0.166391014,0.067004803,0.095537248,0.295081967,0.001359275,0.000220432,0.000379346,0.00136612
LSIS_LIA,upd_snpt_S4_3,0.217750258,0.053785368,0.086263287,0.333758178,0.164798142,0.067004803,0.095272879,0.295271706,0.001348792,0.000220432,0.000378935,0.001367861
LSIS_LIA,no_update_S4_2,0.110424028,0.03186337,0.049455984,0.333333333,0.148975757,0.054322306,0.079614204,0.295081967,0.001247241,0.000130588,0.000236422,0.00136612
LSIS_LIA,no_update_S4_3,0.109841828,0.03186337,0.049397352,0.333333333,0.148899689,0.054322306,0.079603337,0.299135105,0.001246766,0.000130588,0.000236413,0.00136612
WiscDEFT,run1,0.142857143,0.000254907,0.000508906,0.332993457,0.008196721,6.31E-05,0.000125141,0.293540159,0.000135811,1.04E-06,2.07E-06,0.001364727
WiscDEFT,test,0,0,0,0.333333333,0,0,0,0.295081967,0,0,0,0.00136612
WiscDEFT,run2,0.166666667,0.000764721,0.001522456,0.332568612,0.024590164,0.003344496,0.005888147,0.294598992,0.000105515,3.13E-06,6.09E-06,0.001362986
