team_id,system_id,micro_average_P,micro_average_R,micro_average_F,micro_average_SU,macro_average_P,macro_average_R,macro_average_F,macro_average_SU,weighted_average_P,weighted_average_R,weighted_average_F,weighted_average_SU
CompInsights,ssf_baseline_1,0.4663252571330206,0.7510396451344608,0.5753882915173238,0.5475233342574624,0.49297746440709117,0.8108310624246127,0.6131597285805903,0.5087475404607236,0.0024108339092480157,0.0026632611529590787,0.0025307686269259175,0.0023719311215845734
CompInsights,ccr_baseline_1,0.4752446628401536,0.797685056833934,0.5956268598783802,0.5715275852509011,0.5076127148342556,0.8561685636950127,0.6373486068699449,0.5308705399975046,0.002414153707635366,0.0028399762479182503,0.002609809519942033,0.0024675391493163092
LSIS_LIA,upd_snippet_S4,0.5935799782372143,0.378084280565567,0.46193581166906594,0.49909897421680066,0.4983570731247599,0.37637129052903107,0.42885838061259873,0.41837187355273897,0.0022458542351079234,0.0013407243991686761,0.0016790774032996046,0.0018552217549144317
LSIS_LIA,upd_doc_S4_3,0.5946711423476345,0.39291655115054064,0.47318559325570725,0.5060068385546622,0.4954841454986949,0.36394370663826,0.4196474108789985,0.4130153816541225,0.0022457592631390084,0.0013933211033707112,0.0017197002864891146,0.0018884019187802017
LSIS_LIA,upd_doc_S4_2,0.5948782535684299,0.3928472414749099,0.47320086825847385,0.5060530450050827,0.4961720324738159,0.3635265184864035,0.41961613482788185,0.41307167769113684,0.0022471373947105726,0.001393075324379113,0.0017199168821341287,0.0018887296241023328
LSIS_LIA,no_update_S4,0.5846599131693199,0.3360133074577211,0.42676056338028173,0.47777469734774974,0.49040554344623666,0.3798179012168061,0.42808500598133153,0.4206208146817637,0.002257837575861481,0.0011915365512685137,0.0015598748638524025,0.0017660039809642514
LSIS_LIA,upd_document_S4,0.5948782535684299,0.3928472414749099,0.47320086825847385,0.5060530450050827,0.4961720324738159,0.3635265184864035,0.41961613482788185,0.41307167769113684,0.0022471373947105726,0.001393075324379113,0.0017199168821341287,0.0018887296241023328
LSIS_LIA,upd_snpt_S4_2,0.5935799782372143,0.378084280565567,0.46193581166906594,0.49909897421680066,0.4983570731247599,0.37637129052903107,0.42885838061259873,0.41837187355273897,0.0022458542351079234,0.0013407243991686761,0.0016790774032996046,0.0018552217549144317
LSIS_LIA,upd_snpt_S4_3,0.5935799782372143,0.378084280565567,0.46193581166906594,0.49912207744201087,0.4983570731247599,0.37637129052903107,0.42885838061259873,0.41841196585007623,0.0022458542351079234,0.0013407243991686761,0.0016790774032996046,0.0018552217549144317
LSIS_LIA,no_update_S4_2,0.583485124468731,0.3330329914056002,0.42403918280898384,0.47611126513261254,0.49009456854077926,0.3779286574352877,0.42676457671202955,0.4192584179059466,0.0022572454464621205,0.0011809680546297871,0.0015506510941706976,0.0017569920846056475
